SongID,SongTitle,ArtistName,StationSpinsNonOvernight,StationSpins,MarketSpins,BreakoutID,BreakoutName,BreaoutRespondents,UNF,NEG,DDL,NOP,LIK,FAV,POP,PTL,2POP
2265584,Shape Of You,SHEERAN  ED,2999,4046,20776,1,Total,80,1,11,20,15,32,20,70,71,80
2265584,Shape Of You,SHEERAN  ED,2999,4046,20776,317542,*Core*,40,2,10,10,20,35,22,79,81,90
2265584,Shape Of You,SHEERAN  ED,2999,4046,20776,427908,C-CORE (KKRZ/KBFF),80,1,11,20,15,32,20,70,71,80
2265584,Shape Of You,SHEERAN  ED,2999,4046,20776,412840,C-CORE(KBFFCumeKKRZ),25,0,12,32,12,32,12,56,56,62
2265584,Shape Of You,SHEERAN  ED,2999,4046,20776,414328,C-CUME (KBFF),55,2,9,25,16,31,16,64,65,72
2265584,Shape Of You,SHEERAN  ED,2999,4046,20776,427901,C-CUME (KKRZ/HAC-AC),46,2,15,24,11,30,17,62,63,71
2265584,Shape Of You,SHEERAN  ED,2999,4046,20776,427903,C-CUME (KKRZ/KKCW),31,3,16,26,10,26,19,60,62,69
2265584,Shape Of You,SHEERAN  ED,2999,4046,20776,427907,C-CUME (KKRZ/KNRK),15,7,13,27,13,13,27,60,64,73
2265584,Shape Of You,SHEERAN  ED,2999,4046,20776,427902,C-CUME (KKRZ/KRSK),26,0,12,23,19,35,12,62,62,67
2265584,Shape Of You,SHEERAN  ED,2999,4046,20776,427904,C-CUME (KKRZ/KXJM),30,0,13,23,23,33,7,55,55,58
2265584,Shape Of You,SHEERAN  ED,2999,4046,20776,427906,C-CUME (KKRZ/Rock),22,5,5,9,14,45,23,86,90,98
2265584,Shape Of You,SHEERAN  ED,2999,4046,20776,427900,CORE (KKRZcumeKBFF),15,7,0,13,33,33,13,70,75,77
2265584,Shape Of You,SHEERAN  ED,2999,4046,20776,427905,CORE (KKRZcumeKXJM),17,0,12,18,29,35,6,59,59,62
2265584,Shape Of You,SHEERAN  ED,2999,4046,20776,412841,F (16-19),22,0,9,32,5,36,18,66,66,75
2265584,Shape Of You,SHEERAN  ED,2999,4046,20776,412759,F (18-24),43,0,12,19,14,37,19,72,72,81
2265584,Shape Of You,SHEERAN  ED,2999,4046,20776,412412,F (20-24),30,0,13,13,20,37,17,72,72,80
2265584,Shape Of You,SHEERAN  ED,2999,4046,20776,412415,F (20-29),58,2,12,16,19,31,21,72,73,82
2265584,Shape Of You,SHEERAN  ED,2999,4046,20776,412413,F (25-29),28,4,11,18,18,25,25,71,74,84
2265584,Shape Of You,SHEERAN  ED,2999,4046,20776,400756,Hispanic,20,0,5,25,15,45,10,68,68,72
2265584,Shape Of You,SHEERAN  ED,2999,4046,20776,401515,*Old*,28,4,11,18,18,25,25,71,74,84
2265584,Shape Of You,SHEERAN  ED,2999,4046,20776,400803,White,52,2,13,17,13,31,23,72,74,84
2265584,Shape Of You,SHEERAN  ED,2999,4046,20776,401514,*Young*,52,0,12,21,13,37,17,69,69,78
2605093,Heat Waves,GLASS ANIMALS,508,769,4644,1,Total,80,12,11,8,19,32,18,68,78,77
2605093,Heat Waves,GLASS ANIMALS,508,769,4644,317542,*Core*,40,15,10,2,18,40,15,71,84,79
2605093,Heat Waves,GLASS ANIMALS,508,769,4644,427908,C-CORE (KKRZ/KBFF),80,12,11,8,19,32,18,68,78,77
